SegIndex,Fn in N,η in mPas,h in mm,t in s,t_seg in s
3|13,0.7073766589,0,1.274251495,33.76200104,0.1350021362
3|14,0.7113226652,0,1.274001435,33.77199936,0.1450004578
3|15,0.7137390971,0,1.273851376,33.7820015,0.155002594
3|16,0.716389358,0,1.273501432,33.79199982,0.1650009155
3|17,0.7192796469,0,1.272901427,33.80199814,0.1749992371
3|18,0.7257351875,0,1.272201422,33.81200027,0.1850013733
3|19,0.7292465568,0,1.271351357,33.8219986,0.1949996948
3|20,0.732948482,0,1.270501409,33.83200073,0.2050018311
3|21,0.7411165237,0,1.269751461,33.84199905,0.2150001526
3|22,0.7455912232,0,1.2693014,33.85200119,0.2250022888
3|23,0.7503332496,0,1.269001397,33.86199951,0.2350006104
3|24,0.7603877187,0,1.268951455,33.87200165,0.2450027466
3|25,0.7656367421,0,1.268451451,33.88199997,0.2550010681
3|26,0.7710066438,0,1.267801388,33.89199829,0.2649993896
3|27,0.7764704823,0,1.267051324,33.90200043,0.2750015259
3|28,0.7876678705,0,1.266151317,33.91199875,0.2849998474
3|29,0.7934350967,0,1.265351311,33.92200089,0.2950019836
3|30,0.7993229032,0,1.264551422,33.93199921,0.3050003052
3|31,0.8115606308,0,1.264051418,33.94200134,0.3150024414
3|32,0.8179158568,0,1.263751299,33.95199966,0.3250007629
3|33,0.8244076967,0,1.263651298,33.9620018,0.3350028992
3|34,0.8375902772,0,1.263201353,33.97200012,0.3450012207
3|35,0.844183147,0,1.262551406,33.98199844,0.3549995422
3|36,0.8507154584,0,1.261801459,33.99200058,0.3650016785
3|37,0.8572224379,0,1.260951394,34.0019989,0.375
3|38,0.870220542,0,1.260151388,34.01200104,0.3850021362
3|39,0.8768676519,0,1.259401441,34.02199936,0.3950004578
3|40,0.8904502988,0,1.258801436,34.03699875,0.4099998474
3|41,0.8973494172,0,1.258701435,34.04700089,0.4200019836
3|42,0.9113157392,0,1.258401433,34.05699921,0.4300003052
3|43,0.9183316827,0,1.257851371,34.06700134,0.4400024414
3|44,0.9253160357,0,1.25710154,34.07699966,0.4500007629
3|45,0.9392216802,0,1.256401534,34.0870018,0.4600028992
3|46,0.9461262226,0,1.255601412,34.09700012,0.4700012207
3|47,0.9529826641,0,1.254901406,34.10699844,0.4799995422
3|48,0.9598323107,0,1.25435146,34.11700058,0.4900016785
3|49,0.973485589,0,1.254051458,34.1269989,0.5
3|50,0.9802940488,0,1.253901515,34.13700104,0.5100021362
3|51,0.9870872498,0,1.253601396,34.14699936,0.5200004578
3|52,1.000552535,0,1.25305145,34.1570015,0.530002594
3|53,1.007193327,0,1.252301387,34.16699982,0.5400009155
3|54,1.013740778,0,1.251551439,34.17699814,0.5499992371
3|55,1.026694536,0,1.250801375,34.18700027,0.5600013733
3|56,1.033227801,0,1.250001369,34.1969986,0.5699996948
3|57,1.039832592,0,1.249401364,34.20700073,0.5800018311
3|58,1.046501517,0,1.24905142,34.21699905,0.5900001526
3|59,1.060038567,0,1.248951536,34.22700119,0.6000022888
3|60,1.066829443,0,1.248601475,34.23699951,0.6100006104
3|61,1.073607326,0,1.24800147,34.24700165,0.6200027466
3|62,1.086932898,0,1.247151522,34.25699997,0.6300010681
3|63,1.093535781,0,1.246351516,34.26699829,0.6399993896
3|64,1.100132227,0,1.245501568,34.27700043,0.6500015259
3|65,1.113386154,0,1.244701562,34.28699875,0.6599998474
3|66,1.120111465,0,1.244151499,34.29700089,0.6700019836
3|67,1.126943231,0,1.243851497,34.30699921,0.6800003052
3|68,1.140781403,0,1.243801555,34.31700134,0.6900024414
3|69,1.147735715,0,1.243351493,34.32699966,0.7000007629
3|70,1.154684305,0,1.242751488,34.3370018,0.7100028992
3|71,1.161620855,0,1.241951482,34.34700012,0.7200012207
3|72,1.175367117,0,1.241101534,34.35699844,0.7299995422
3|73,1.182189226,0,1.240301528,34.36700058,0.7400016785
3|74,1.189018846,0,1.239551581,34.3769989,0.75
3|75,1.202856302,0,1.239051577,34.38700104,0.7600021362
3|76,1.209877014,0,1.238801517,34.39699936,0.7700004578
3|77,1.216944933,0,1.238701516,34.4070015,0.780002594
3|78,1.231012583,0,1.238251687,34.41699982,0.7900009155
3|79,1.237967491,0,1.237651682,34.42699814,0.7999992371
3|80,1.244892597,0,1.236951677,34.43700027,0.8100013733
3|81,1.251773596,0,1.236151671,34.4469986,0.8199996948
3|82,1.265440464,0,1.235401607,34.45700073,0.8300018311
3|83,1.272264004,0,1.234701602,34.46699905,0.8400001526
3|84,1.279111743,0,1.234251657,34.47700119,0.8500022888
3|85,1.292963266,0,1.234001596,34.48699951,0.8600006104
3|86,1.29995656,0,1.233901596,34.49700165,0.8700027466
3|87,1.306944132,0,1.23345165,34.50699997,0.8800010681
3|88,1.32070899,0,1.232851646,34.51699829,0.8899993896
3|89,1.327406764,0,1.232151757,34.52700043,0.9000015259
3|90,1.340517879,0,1.230901689,34.54199982,0.9150009155
3|91,1.347063661,0,1.230101683,34.55199814,0.9249992371
3|92,1.35364604,0,1.229551621,34.56200027,0.9350013733
3|93,1.367019176,0,1.229251618,34.5719986,0.9449996948
3|94,1.373791099,0,1.229101676,34.58200073,0.9550018311
3|95,1.380552411,0,1.229001675,34.59199905,0.9650001526
3|96,1.393869281,0,1.228951616,34.60200119,0.9750022888
3|97,1.400347352,0,1.228751615,34.61199951,0.9850006104
3|98,1.406614184,0,1.228501787,34.62200165,0.9950027466
4|1,1.485841393,0,1.227601897,34.79199982,0.01499938965
4|2,1.48731482,0,1.227801898,34.80199814,0.02499771118
4|3,1.487738371,0,1.227951725,34.81200027,0.03499984741
4|4,1.48796916,0,1.228051726,34.8219986,0.04499816895
4|5,1.487795115,0,1.228401903,34.83200073,0.05500030518
4|6,1.487436533,0,1.228951849,34.84199905,0.06499862671
4|7,1.486846089,0,1.229551737,34.85200119,0.07500076294
4|8,1.48478508,0,1.230301801,34.86199951,0.08499908447
4|9,1.48322022,0,1.231001923,34.87200165,0.0950012207
4|10,1.481234312,0,1.231701928,34.88199997,0.1049995422
4|11,1.478771448,0,1.232251874,34.89199829,0.1149978638
4|12,1.472409487,0,1.232551876,34.90200043,0.125
4|13,1.468519926,0,1.232601819,34.91199875,0.1349983215
4|14,1.464196086,0,1.232901821,34.92200089,0.1450004578
4|15,1.454478621,0,1.233351883,34.93199921,0.1549987793
4|16,1.449151754,0,1.233851886,34.94200134,0.1650009155
4|17,1.443558097,0,1.234501833,34.95199966,0.1749992371
4|18,1.431681633,0,1.235201838,34.9620018,0.1850013733
4|19,1.425383449,0,1.235951902,34.97200012,0.1949996948
4|20,1.41885519,0,1.236601849,34.98199844,0.2049980164
4|21,1.41204977,0,1.237051911,34.99200058,0.2150001526
4|22,1.39769268,0,1.237351913,35.0019989,0.2249984741
4|23,1.390202999,0,1.237401855,35.01200104,0.2350006104
4|24,1.3825804,0,1.237701857,35.02199936,0.2449989319
4|25,1.367203236,0,1.238201978,35.0320015,0.2550010681
4|26,1.359496593,0,1.238801982,35.04199982,0.2649993896
4|27,1.351781607,0,1.23955193,35.05199814,0.2749977112
4|28,1.336313248,0,1.240301877,35.06200027,0.2849998474
4|29,1.328477859,0,1.241102,35.0719986,0.2949981689
4|30,1.320533395,0,1.241751947,35.08200073,0.3050003052
4|31,1.312456369,0,1.24215195,35.09199905,0.3149986267
4|32,1.295956373,0,1.24240201,35.10200119,0.3250007629
4|33,1.287595391,0,1.24250201,35.11199951,0.3349990845
4|34,1.279215217,0,1.242902013,35.12200165,0.3450012207
4|35,1.262436986,0,1.243451959,35.13199997,0.3549995422
4|36,1.254090071,0,1.244102139,35.14199829,0.3649978638
4|37,1.245761156,0,1.244852087,35.15200043,0.375
4|38,1.229182601,0,1.24560215,35.16199875,0.3849983215
4|39,1.22092545,0,1.246452099,35.17200089,0.3950004578
4|40,1.204390645,0,1.247302163,35.18700027,0.4099998474
4|41,1.196074843,0,1.247551991,35.1969986,0.4199981689
4|42,1.187723398,0,1.247602049,35.20700073,0.4300003052
4|43,1.171041965,0,1.248002052,35.21699905,0.4399986267
4|44,1.162766457,0,1.24850194,35.22700119,0.4500007629
4|45,1.154577732,0,1.249152003,35.23699951,0.4599990845
4|46,1.138461709,0,1.249902067,35.24700165,0.4700012207
4|47,1.130526304,0,1.250602072,35.25699997,0.4799995422
4|48,1.122641325,0,1.25135202,35.26699829,0.4899978638
4|49,1.106974483,0,1.251952024,35.27700043,0.5
4|50,1.099154353,0,1.252352027,35.28699875,0.5099983215
4|51,1.091332674,0,1.252601971,35.29700089,0.5200004578
4|52,1.083565593,0,1.252701972,35.30699921,0.5299987793
4|53,1.068265796,0,1.253101975,35.31700134,0.5400009155
4|54,1.060773253,0,1.253601979,35.32699966,0.5499992371
4|55,1.053377628,0,1.254201983,35.3370018,0.5600013733
4|56,1.038957953,0,1.255001989,35.34700012,0.5699996948
4|57,1.031895518,0,1.255701995,35.35699844,0.5799980164
4|58,1.024904966,0,1.256351941,35.36700058,0.5900001526
4|59,1.011034012,0,1.256852061,35.3769989,0.5999984741
4|60,1.004141331,0,1.257202122,35.38700104,0.6100006104
4|61,0.99728477,0,1.257352065,35.39699936,0.6199989319
4|62,0.9837737083,0,1.257552183,35.4070015,0.6300010681
4|63,0.9771716595,0,1.257952186,35.41699982,0.6399993896
4|64,0.9706591368,0,1.258502249,35.42699814,0.6499977112
4|65,0.9642626047,0,1.259152195,35.43700027,0.6599998474
4|66,0.9518432021,0,1.259902259,35.4469986,0.6699981689
4|67,0.9457632899,0,1.260652207,35.45700073,0.6800003052
4|68,0.9397192001,0,1.261402271,35.46699905,0.6899986267
4|69,0.9276429415,0,1.261952217,35.47700119,0.7000007629
4|70,0.9215564132,0,1.262252335,35.48699951,0.7099990845
4|71,0.9154514074,0,1.262352336,35.49700165,0.7200012207
4|72,0.9032105803,0,1.262652338,35.50699997,0.7299995422
4|73,0.8970899582,0,1.263102284,35.51699829,0.7399978638
4|74,0.891043067,0,1.263702288,35.52700043,0.75
4|75,0.885084331,0,1.264352351,35.53699875,0.7599983215
4|76,0.8733710051,0,1.265152358,35.54700089,0.7700004578
4|77,0.8675633669,0,1.266052481,35.55699921,0.7799987793
4|78,0.8617619872,0,1.266752486,35.56700134,0.7900009155
4|79,0.8501458764,0,1.26725249,35.57699966,0.7999992371
4|80,0.8442904353,0,1.267552492,35.5870018,0.8100013733
4|81,0.8384414315,0,1.267602434,35.59700012,0.8199996948
4|82,0.8268278241,0,1.267952495,35.60699844,0.8299980164
4|83,0.8210666776,0,1.268502441,35.61700058,0.8400001526
4|84,0.8153403997,0,1.269152621,35.6269989,0.8499984741
4|85,0.809641242,0,1.269852626,35.63700104,0.8600006104
4|86,0.7982991934,0,1.270602574,35.64699936,0.8699989319
4|87,0.7926265001,0,1.27140258,35.6570015,0.8800010681
4|88,0.7869519591,0,1.272002701,35.66699982,0.8899993896
4|89,0.7756773829,0,1.272352645,35.67699814,0.8999977112
4|90,0.7645290494,0,1.272602705,35.69200134,0.9150009155
4|91,0.7590450048,0,1.272652647,35.70199966,0.9249992371
4|92,0.7536364198,0,1.272902708,35.7120018,0.9350013733
4|93,0.7431064248,0,1.273152651,35.72200012,0.9449996948
4|94,0.7380535603,0,1.273402711,35.73199844,0.9549980164
4|95,0.7331488729,0,1.273652655,35.74200058,0.9650001526
4|96,0.7284203768,0,1.273852657,35.7519989,0.9749984741
4|97,0.7195084691,0,1.274002716,35.76200104,0.9850006104
4|98,0.7153389454,0,1.274152659,35.77199936,0.9949989319
5|1,0.6659817696,0,1.27420295,35.94200134,0.01500320435
5|2,0.6651498079,0,1.273852889,35.95199966,0.02500152588
5|3,0.6649327278,0,1.273652888,35.9620018,0.03500366211
5|4,0.6648708582,0,1.273603062,35.97200012,0.04500198364
5|5,0.6649673581,0,1.273203059,35.98199844,0.05500030518
5|6,0.6656370759,0,1.272652997,35.99200058,0.06500244141
5|7,0.6662423611,0,1.271952991,36.0019989,0.07500076294
5|8,0.6670770645,0,1.271103043,36.01200104,0.08500289917
5|9,0.6695789099,0,1.270353212,36.02199936,0.0950012207
5|10,0.6712619662,0,1.269653207,36.0320015,0.1050033569
5|11,0.6732711196,0,1.269203145,36.04199982,0.1150016785
5|12,0.6782456636,0,1.268903143,36.05199814,0.125
5|13,0.6811760664,0,1.268803142,36.06200027,0.1350021362
5|14,0.6844168901,0,1.268303138,36.0719986,0.1450004578
5|15,0.6879109144,0,1.267653191,36.08200073,0.155002594
5|16,0.6955815554,0,1.266753185,36.09199905,0.1650009155
5|17,0.6997583508,0,1.265853178,36.10200119,0.1750030518
5|18,0.7041980028,0,1.265003113,36.11199951,0.1850013733
5|19,0.7137988806,0,1.264353166,36.12200165,0.1950035095
5|20,0.7189491987,0,1.26395328,36.13199997,0.2050018311
5|21,0.7243337035,0,1.26370322,36.14199829,0.2150001526
5|22,0.7356793284,0,1.263553277,36.15200043,0.2250022888
5|23,0.74158144,0,1.263053273,36.16199875,0.2350006104
5|24,0.747568965,0,1.262353268,36.17200089,0.2450027466
5|25,0.7536153793,0,1.261653379,36.18199921,0.2550010681
5|26,0.765857935,0,1.26080343,36.19200134,0.2650032043
5|27,0.7720981836,0,1.259953366,36.20199966,0.2750015259
5|28,0.7784537077,0,1.259303419,36.2120018,0.2850036621
5|29,0.7915079594,0,1.258853357,36.22200012,0.2950019836
5|30,0.7982320189,0,1.258653356,36.23199844,0.3050003052
5|31,0.8050487041,0,1.258453354,36.24200058,0.3150024414
5|32,0.8187423348,0,1.258003409,36.2519989,0.3250007629
5|33,0.8256101012,0,1.257353346,36.26200104,0.3350028992
5|34,0.8324733973,0,1.256603515,36.27199936,0.3450012207
5|35,0.8461704254,0,1.255903509,36.2820015,0.3550033569
5|36,0.8530592322,0,1.255103503,36.29199982,0.3650016785
5|37,0.8599872589,0,1.254503499,36.30199814,0.375
5|38,0.8669655919,0,1.254103612,36.31200027,0.3850021362
5|39,0.880954802,0,1.253903611,36.3219986,0.3950004578
5|40,0.8948406577,0,1.253503608,36.3370018,0.4100036621
5|41,0.9017401338,0,1.252903603,36.34700012,0.4200019836
5|42,0.9086057544,0,1.252103597,36.35699844,0.4300003052
5|43,0.922187686,0,1.251403475,36.36700058,0.4400024414
5|44,0.9289733768,0,1.250553527,36.3769989,0.4500007629
5|45,0.9358021021,0,1.249753521,36.38700104,0.4600028992
5|46,0.9426653385,0,1.249253517,36.39699936,0.4700012207
5|47,0.956502676,0,1.249003457,36.4070015,0.4800033569
5|48,0.9634613395,0,1.248953631,36.41699982,0.4900016785
5|49,0.9704476595,0,1.24850357,36.42699814,0.5
5|50,0.984397769,0,1.247803448,36.43700027,0.5100021362
5|51,0.9913613796,0,1.247003558,36.4469986,0.5200004578
5|52,0.9983489513,0,1.246103551,36.45700073,0.530002594
5|53,1.012534738,0,1.245203544,36.46699905,0.5400009155
